,prompt_hash,prompt_id_unique,participant_a_prompt_text,participant_b_prompt_text,ipc_a,ipc_b,interaction_type
465,00000466,P0002_v3.4.aac_ANCP_XXXX-103,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The *airplane* is soaring through the sky.
She is playing the *guitar*.
He is *brushing* his teeth.
She is squinting to see clearly with *vision*.
He is easily *distracted*.
The trees are *swaying* in the wind.
She is *apologizing* sincerely.
He is shaking his head, *disagreeing*.
She is *predicting* the outcome.
She is *standing* proudly.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
He is riding the *bicycle* down the street.
She is reading a *novel*.
He is listening to *music*.
She is standing with *pride*.
He is looking down with *guilt*.
She is fully *engaged* in the task.
The sound is *piercing*.
She is warmly *greeting* everyone.
The *frog* is jumping into the pond.
The *sun* is shining brightly.",ANCP,,grounded_gesture
466,00000467,P0002_v3.9.aac_ANCP_XXXX-61,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
She is *hammering* a nail.
She is grounding herself with *stability*.
She is hugging herself in *loneliness*.
The *quiet* tones of the library were calming.
The *hot* sun made it hard to stay outside.
The coffee was *bitter*, and the curry was *spicy*.
The sauce was *tangy*, and the dish was *savory*.
The pool was *deep*, and the diving board was *high*.
The chair was *low*, but the platform was *elevated*.
The *sunken* ship was discovered by a fast-moving submarine.","""You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
He is *chewing* gum.
He is spreading his arms in *freedom*.
The room was filled with soft, natural *light*.
The *proud* lion stood atop the hill.
The drone hovered *above* while the cat hid *below*.
The jacket was *lightweight*, and the candy was *sweet*.
The chips were *salty*, and the lemon was *sour*.
Move away *from* the edge and go *through* the door.
Look *upward* at the sky and step *forward*.
The pencil was *short*, and the water was *shallow*.""",ANCP,,grounded_gesture
467,00000468,P0002_v3.9.aac_ANCP_XXXX-262,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
She is *surfing* the waves.
She is *wrapping* a gift.
He is crossing his arms in *skepticism*.
The *light* scarf floated in the breeze.
The *sweet* words of the poet captivated the audience.
The book is *on top of* the shelf, and the shoes are *underneath* the bed.
The fence goes *around* the garden, and the path leads *through* it.
I need *more* pillows; the current ones are too *soft*.
The ground was *hard*, but the grass was *wet*.
The towel was *dry*, and the surface was *smooth*.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
He is skiing *down* the slope.
The manager is *above* me in the company hierarchy.
She is tapping her foot with *impatience*.
The *cold* wind cut through my jacket.
The *heavy* suitcase was difficult to carry.
The dog hid *behind* the couch while the cat sat *in front of* it.
The store is *near*, but the beach is *far*.
The roads met *perpendicular*, near the *large* park.
The *small* kitten played with the medium-sized ball.
The *tiny* insect crawled on the huge leaf.",ANCP,,grounded_gesture
468,00000469,P0002_v3.0aac_ANCP_XXXX-119,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
Turn *left* at the corner.
The picture is hanging *askew*.
The statue is *gigantic*.
*All* the cookies are gone.
I bought *5* books.
The candy is *sweet*.
The car is *nearer* than the bus.
He is *cooking* dinner.
She is *swimming* in the pool.
He is *performing* on theater stage.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
Let's play *outside* in the sun.
The books are *aligned* on the shelf.
The mountain is *huge*.
There are *many* stars in the sky.
We need *4* chairs.
The chips are *salty*.
The star is the *farthest* away.
He is *pointing* at the map.
She is *waving* goodbye.
He is *speaking* with authority.",ANCP,,grounded_gesture
469,00000470,P0002_v3.0aac_ANCP_XXXX-120,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The cat hid *below* the table.
She was *among* the crowd.
The pencil is *short*.
The book is *within* reach.
I have *1* apple.
The conversation was *hushed*.
The sauce is *tangy*.
The bird is *gliding* through the sky.
The ball is *bouncing* on the ground.
Her *creativity* is inspiring.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
The bird flew *above* my head.
The ball is *between* the shoes.
The building is *tall*.
The star is *distant*.
Use *less* sugar.
The street is *noisy*.
The curry is *spicy*.
The baby is *crawling* on the floor.
He is *climbing* the ladder.
He had a sudden *realization*.",ANCP,,grounded_gesture
470,00000471,P0060_AA_ANCP_XXXX-259,"You're going to play a game with your partner. This game is going to test your acting skills!
You are each given different lists of sentences below.
Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.
Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.
Alternate with your partner until you’ve completed your list or the moderator asks you to move on.
Your partner will go first. Here's your list:
The house is *big* and spacious.
The sports car is *fast* and powerful. It is *hot* outside today.
I feel *sad* when I think of my lost pet. I was *surprised* by the news.
The road is *flat* and even.
I'm *afriad* of height.","You're going to play a game with your partner. This game is going to test your acting skills!
You are each given different lists of sentences below.
Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.
Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.
Alternate with your partner until you’ve completed your list or the moderator asks you to move on.
You will go first. Here's your list:
I am *thinking* about dinner options.
I am feeling *confused*.
I'm *dancing* to my favorite song.
I *love* spending time with my family. Please *stop* talking.",ANCP,,grounded_gesture
471,00000472,P0002_v3.9.aac_ANCP_XXXX-62,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
He is *jogging* on the track.
She is offering a *compassionate* touch.
After *the party*, only a few snacks were *left*.
The *scarce* gem was a prized possession.
The mountain peak is incredibly *high*.
The forest is *beyond* the hill, but the car is *nearer*.
The star is the *farthest* away, but the school is *close* to the library.
Take a step *backward* to see the tall building.
The *miniature* model was placed near the window.
The mountain seemed *far*, but the river was *close*.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
He is *skating* on the ice.
He is *zipping* up his jacket.
She is looking around in *wonder*.
The *spicy* salsa added a kick to the dish.
The *abundant* harvest ensured a feast for all.
She ran *across* the street and walked *along* the river.
The buildings are *adjacent*, and the bank is *opposite* the store.
The picture hung *askew*, while the lines on the paper were *parallel*.
The glass was *full*, but the bottle was *empty*.
The bark was *rough*, and the glue was *sticky*.",ANCP,,grounded_gesture
472,00000473,P0002_v3.0.aac_ANCP_XXXX-50,"""You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
The bird flew *above* my head.
The ball is *between* the shoes.
The building is *tall*.
The star is *distant*.
Use *less* sugar.
The street is *noisy*.
The curry is *spicy*.
The baby is *crawling* on the floor.
He is *climbing* the ladder.
He had a sudden *realization*.""","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The cat hid *below* the table.
She was *among* the crowd.
The pencil is *short*.
The book is *within* reach.
I have *1* apple.
The conversation was *hushed*.
The sauce is *tangy*.
The bird is *gliding* through the sky.
The ball is *bouncing* on the ground.
Her *creativity* is inspiring.",ANCP,,grounded_gesture
473,00000474,P0002_v3.0.aac_ANCP_XXXX-211,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
She sat *beside* her friend.
Walk *straight* ahead.
The shirt is *medium*-sized.
The shelf is *out of reach*.
She has *2* dogs.
The coffee is *bitter*.
The road is *at the end of* the street.
He is *pushing* the cart.
She is *pulling* the rope.
She is *smiling* with contentment.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The gift is *inside* the box.
The road is *curved*.
The ant is *tiny*.
There are few apples *left*.
There are *3* cars.
The lemon is *sour*.
The school is *close* to the library.
He is *lifting* the weights.
She is *throwing* the ball.
He is *lost* in nostalgia.
",ANCP,,grounded_gesture
474,00000475,P0002_v3.0.aac_ANCP_XXXX-212,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
Let's play *outside* in the sun.
The books are *aligned* on the shelf.
The mountain is *huge*.
There are *many* stars in the sky.
We need *4* chairs.
The chips are *salty*.
The star is the *farthest* away.
He is *pointing* at the map.
She is *waving* goodbye.
He is *speaking* with authority.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
Turn *left* at the corner.
The picture is hanging *askew*.
The statue is *gigantic*.
*All* the cookies are gone.
I bought *5* books.
The candy is *sweet*.
The car is *nearer* than the bus.
He is *cooking* dinner.
She is *swimming* in the pool.
He is *performing* on theater stage.",ANCP,,grounded_gesture
475,00000476,P0026_v3.1.fam_APCP_XXXX,Your partner will tell you about a time they discovered a new passion. Ask them questions about what they like about it and how they think you could get involved or support them.,Think of a time when you were drawn to a new hobby or interest. Tell your partner about what sparked your enthusiasm and how you got started. Share what you've learned and what you enjoy about it.,APCP,,ipc_conversation
476,00000477,P0004_EO_ANCP_XXXX,"Ask your partner: ""Would you rather always have to speak in rhyme or sing everything you say?"" Discuss it with them.",Your partner will pose a question to you. Have fun answering it.,ANCP,,ipc_conversation
477,00000478,P0048_CC_ANCP_XXXX,"You will each see the same prompt:
Discuss with your partner - ""if we were to start a company or business together what","You will each see the same prompt:
Discuss with your partner - ""if we were to start a company or business together what",ANCP,,ipc_conversation
478,00000479,P0058_DN_ANCM_XXXX,"Discuss your morning routine with your partner. Then ask them about their morning routine. Find at least one element that differs and discuss what this says about your
personalities.","Your partner will tell you about their morning routine and then ask you about yours. Discuss together to identify at least one element that differs and discuss what this
says about your personalities.",ANCM,,ipc_conversation
479,00000480,P0059_DP_APCN_XXXX,Share an experience where you had to take charge in a challenging situation to ensure the well-being of others. How did you balance your leadership role with the needs and feelings of those involved?,Your partner will talk about a situation in which they needed to take the lead. Discuss it with them.,APCN,,ipc_conversation
480,00000481,P0065_AA_ANCP_XXXX,"You're going to play a game with your partner. It is intended to be silly and fun.
You are each given different lists of words or phrases below.","You're going to play a game with your partner. It is intended to be silly and fun.
You are each given different lists of words or phrases below.",ANCP,,charades
481,00000482,P0018_MN_AMCP_XXXX,"Share an embarrassing story about yourself with your partner. Without revealing personal details like names or dates, describe what happened, why it was embarrassing, and how it made you feel.",Your partner will tell you a story from their past. Listen to them and engage with the story.,AMCP,,ipc_conversation
482,00000483,P0015_DP_APCN_XXXX,Recall a time in which you needed to stand-up for yourself. What was the context of the situation and what did you do?,Your partner will tell you a story from their past. Listen to them and engage with the story.,APCN,,ipc_conversation
483,00000484,P0036_DN_APCM_XXXX,"Think of something that’s been bothering you - maybe it’s causing you to worry or
makes you feel anxious. Tell your partner what this is and discuss the topic with them.",Your partner will bring up a topic of their choice. Discuss it with them.,APCM,,ipc_conversation
484,00000485,P0062_AA_ANCP_XXXX-23,You're going to play a game with your partner. This game is going to test your acting skills!,You're going to play a game with your partner. This game is going to test your acting skills!,ANCP,,grounded_gesture
485,00000486,P0016_MP_AMCN_XXXX,Your partner will tell you a personal story. Listen to them and engage with the story.,"Recall a time that you were stuck in life or on a project and someone helped you to get
through it. Tell the story about this time, describe how the person helped you, and what you learned from the experience.",AMCN,,ipc_conversation
486,00000487,P0010_DN_AMCN_XXXX,Your partner will talk about an event of their choice. Discuss the situation with them.,"Describe a time that you failed at something or weren't able to achieve the outcome you had hoped for. Discuss the feelings you had and what you learned with your
partner.",AMCN,,ipc_conversation
487,00000488,P0046_DP_APCP_XXXX,"You will each see the same prompt:
Discuss the following statement with your partner: ""Surprises in life can be delightful","You will each see the same prompt:
Discuss the following statement with your partner: ""Surprises in life can be delightful or",APCP,,ipc_conversation
488,00000489,P0005_EO_ANCP_XXXX,Your partner will ask you an either-or question. Choose and answer and discuss it with them.,"Ask your partner: ""Would you rather go into the past and meet your ancestors or go into the future and meet your great-great-grandchildren?"" Discuss with your partner.",ANCP,,ipc_conversation
489,00000490,P0024_MN_AMCP_XXXX,Your partner will tell you a story from their childhood. Listen to them and engage with the story.,Tell a story from your childhood that's bittersweet.,AMCP,,ipc_conversation
490,00000491,P0032_DN_AMCN_XXXX,Your partner will talk about an event from their past. Discuss the situation with them.,"Think of a time that you received difficult-to-hear advice. What was the advice and
how did it make you feel.",AMCN,,ipc_conversation
491,00000492,P0002_v3.2.aac_ANCP_XXXX-82,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
There are *several* options.
The floor is *slippery*.
The water is *shallow*.
We took a *leisurely* walk.
The sun is *bright*.
The kettle is *boiling*.
He walked *through* the door.
The voice is *resonant*.
The children are *playing* in the park.
The day is *bright* and sunny.
","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
There are *numerous* reasons.
Walk *towards* the light.
The pool is *deep*.
The train *accelerated*.
The room is *dim*.
The water is *freezing*.
The shoes are *underneath* the bed.
The cat is *hunting* a mouse.
The *slender* tree swayed gently in the breeze.
The *expansive* field was perfect for a picnic.",ANCP,,grounded_gesture
492,00000493,P0002_v3.2.aac_ANCP_XXXX-245,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
There are *countless* possibilities.
Move *away* from the edge.
The shelf is *high*.
Draw a *circle* on the paper.
Her smile is *radiant*.
The breeze is *cool*.
The book is *on top of* the shelf.
She is *desiring* a new adventure.
He only had *a handful of* coins left in his pocket.
She is *painting* a picture.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The pillow is *soft*.
Go *through* the door.
The chair is *low*.
The box is *square*-shaped.
The weather is *gloomy*.
The blanket is *warm*.
The mountain is *far away*.
She is *vacuuming* the carpet.
She is *bowing* in submission.
She is remaining *humble*.",ANCP,,grounded_gesture
493,00000494,P0002_v3.2.aac_ANCP_XXXX-222,"You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

Your partner will go first.

Here's your list:
The rock is *hard*.
Look *upward* at the sky.
The platform is *elevated*.
The sign is a *triangle*.
The music is *loud*.
The ice is *cold*.
The store is *near* the park.
He is *dusting* the shelves.
He feels *invigorated* after the run.
They are shaking hands as *equals*.","You're going to play a game with your partner. This game is going to test your acting skills!

You are each given different lists of sentences below.

Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is Im feeling *confused*.) You say it out loud while frowning and raising your eyebrows at the word confused.
Partner: Responds saying Why? and acts with a concerned facial expression.

Alternate with your partner until youve completed your list or the moderator asks you to move on.

You will go first.

Here's your list:
The ground is *wet*.
The ball rolled *downward*.
The ship is *sunken*.
The table is a *rectangle*.
The library is *quiet*.
The garden was *abundant* with colorful flowers.
She stood *in front of* the mirror.
She is feeling *restless*.
She is recalling a fond *memory*.
She is standing tall with *empowerment*.",ANCP,,grounded_gesture
494,00000495,P0027_MP_APCP_XXXX,Think about someone you look up to. Could be someone from your childhood or someone you look up to today. Tell a story about this person that provides rich details for your partner describing who this person is and why you look up to them.,Your partner will tell you a story about someone. Listen to them and engage with the story.,APCP,,ipc_conversation
495,00000496,P0062_AA_ANCP_XXXX-51,"You're going to play a game with your partner. This game is going to test your acting skills!
You are each given different lists of sentences below.
Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.
Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.
Your partner will go first.
Here's your list:
The room is *empty* and quiet.
The teacher has a *stern* expression.
I am *ashamed* of my mistake.
The coffee tastes *bitter*.
His face was *blank* as he stared at the wall.
I am *bored* with this movie.
Please *push* the door open slowly.
I am *stressed* about the deadline.
She *made air quotes* with her fingers.
I am *proud* of my accomplishments.
*Stirring* the soup with a spoon is important.
I am *relieved* that the test is over.","You're going to play a game with your partner. This game is going to test your acting skills!
You are each given different lists of sentences below.
Notice that one of the words is bolded in each sentence. When it is your turn you will read one of the sentences out loud AND act-out a corresponding gesture of the bolded word, emphasizing it. Your partner will react by responding with a word or phrase out-loud and making a corresponding expression or gesture.

Example:
You: (Sentence is “I’m feeling *confused*.”) You say it out loud while frowning and raising your eyebrows at the word “confused.”
Partner: Responds saying “Why?” and acts with a concerned facial expression.

Alternate with your partner until you’ve completed your list or the moderator asks you to move on.
You will go first.
Here's your list:
I'm so *angry* about the situation.
I'm filled with *joy*.
The line is *long*, we will have to wait.
The shy girl is *timid* around new people.
I am *worried* about my sick family member.
The Earth *rotates* on its axis.
The skyscraper is *tall* and impressive.
I am *brushing* my teeth before bed.
She is *drinking* water to stay hydrated.
I am *writing* a letter to my pen pal.
The mountain is *high* and challenging to climb.
She is *terrified* of spiders.",ANCP,,grounded_gesture
